make,model_principal,alias
Panoz Auto-Development,Panoz Roadster,panoz roadster
Bmw,3 Series,318i convertible
Rolls-Royce,Corniche/Continental,corniche s
Chrysler,Cirrus,cirrus
Rolls-Royce,Spirit Iii/Spur Iii/Dawn,spirit iii/spur iii/dawn
Mercedes-Benz,Sl-Class,sl320
Toyota,Paseo,paseo convertible
Bmw,3 Series,323is
Bentley,Turbo Rt,turbo rt
Mercedes-Benz,Clk-Class,clk430 (cabriolet)
Jaguar,Vanden Plas,vanden plas s/c
Volvo,S80,s80
Panther Car Company Limited,Kallista,kallista
Texas Coach Company,500Sl,500sl
Chrysler,Prowler,prowler
Oldsmobile,Silhouette,silhouette awd
Ford,Explorer,explorer usps electric
Porsche,Carrera 4 S,carrera 4 s
Hyundai,Pony Excel,pony excel
Saturn,Lw,lw200
Hyundai,Sonata,sonata sport limited
Volvo,V60,v60 polestar awd
Mini,Clubman,john cooper works clubman all4
Nissan,Van,van(cargo)
Jaguar,Xj,xjl awd
Hyundai,Ioniq,ioniq plug-in hybrid
Bmw,7 Series,alpina b7 xdrive
Hyundai,Santa Fe,santa fe xl awd
Gmc,Sierra,sierra k10 4wd at4
Bmw,2 Series,230i xdrive convertible
Land Rover,Range Rover,range rover evoque 237hp
Toyota,Highlander,highlander awd le
Mercedes-Benz,E-Class,amg e53 4matic plus coupe
Ford,F150,f150 pickup 2wd limited
Nissan,Leaf,leaf sv/sl (62 kw-hr battery pack)
Jaguar,Xf,xf sportbrake awd
Bmw,M,m4 convertible competition
Suzuki,Forsa,forsa turbo
Porsche,Panamera,panamera gts st
Bmw,I8,i8 coupe
Mini,Cooper,cooper se hardtop 2 door
Porsche,718,718 cayman gt4
Mclaren Automotive,570S Spider,570s spider
Bmw,M,m440i xdrive coupe
Lincoln,Aviator,aviator phev awd
Audi,Q5,q5 sportback
Audi,Sq5,sq5 sportback
Bmw,8 Series,840i xdrive gran coupe
Tesla,Model Y,model y standard range rwd
Rolls-Royce,Cullinan,cullinan
Bmw,3 Series,m340i sedan
Lucid,Air,air dream r awd w/19 inch wheels
Mazda,Mx-30,mx-30
Jaguar,Xf,xf p250 awd
Jaguar,Xf,xf p300 awd
Audi,E-Tron,e-tron quattro
Toyota,Rav4 Prime,rav4 prime 4wd
Ford,Mustang Mach-E,mustang mach-e cal rt 1 er rwd
Land Rover,Range Rover,new range rover p400 lwb mhev
Bmw,8 Series,alpina b8 gran coupe
Maserati,Levante,levante trofeo
Hyundai,Sonata,sonata hybrid blue
Cx Automotive,Cx,cx 25 gti
Toyota,Bz4X,bz4x limited awd
Volkswagen,Tiguan,tiguan s
Ford,F150,f150 pickup tremor 4wd
Tesla,Model X,model x awd - 75d
Land Rover,Range Rover,range rover evoque convertible
Ferrari,488 Spider,488 spider
Mercedes-Benz,Maybach,maybach s600
Mitsubishi,Lancer,lancer 4wd
Bmw,5 Series,530i xdrive
Mazda,Cx-3,cx-3 4wd
Chevrolet,Trax,trax awd
Mercedes-Benz,Gle-Class,amg gle63 s coupe
Jaguar,F-Pace,f-pace (296 hp)
Mercedes-Benz,S-Class,amg s65 coupe
Bmw,6 Series,alpina b6 xdrive gran coupe
Mercedes-Benz,Glc-Class,amg glc63 s 4matic coupe
Jaguar,Xj,xjl
Ford,Mustang,mustang bullitt
Ford,Mustang,mustang performance package
Lexus,Rx,rx 350 l awd
Kia,Optima,optima hybrid
Mercedes-Benz,Cls-Class,amg cls53 4matic plus
Mercedes-Benz,Cls-Class,cls450
Ford,F150,f150 pickup 4wd limited
Toyota,Tacoma,tacoma 4wd trd pro
Smart,Fortwo,eq fortwo (coupe)
Jaguar,Xe,xe awd 30t
Cadillac,Xt6,xt6 fwd
Maserati,Levante,levante s
Bmw,M,m8 coupe
Audi,S7,s7
Mercedes-Benz,E-Class,amg e63 s 4matic plus (wagon)
Tesla,Model 3,model 3 long range performance awd (18in)
Mercedes-Benz,S-Class,maybach s650
Cadillac,Ct4,ct4 awd
Tesla,Model Y,model y performance awd (21in wheels)
Bmw,M,m240i coupe
Ram,1500,1500 trx 4wd
Ford,Expedition,expedition max 4wd
Lamborghini,Aventador,aventador sian coupe
Bmw,7 Series,740i sedan
Jaguar,F-Type,f-type p450 rwd convertible
Subaru,Ascent,ascent limited/touring/onyx awd
Volvo,V60,v60 t8 awd recharge
Lincoln,Aviator,aviator rwd
Honda,Accord,accord sport/touring
Ford,Expedition,expedition timberline awd
Aston Martin,Dbx 707,dbx 707
Volvo,Xc90,xc90 b5 awd
Bmw,2 Series,m235i xdrive gran coupe
Toyota,Corolla,corolla hybrid awd
Toyota,Rav4,rav4 awd trd offroad
Volvo,S90,s90 t8 awd recharge ext. range
Ford,Courier,courier pickup 4wd
Wallace Environmental,Wetl 500,wetl 500 sl
Import Trade Services,Bmw 325I,bmw 325i
J.K. Motors,Merc Benz 300Ce,merc benz 300ce
Lotus,Esprit,esprit turbo hc pi
Lincoln,Town Car,town car ffv
Alfa Romeo,Gtv,gtv
Chevrolet,G10/20 Van,g10/20 van 2wd (cargo)
Infiniti,Fx50,fx50
Infiniti,G37,g37
Gmc,Savana Cargo,savana 2500 2wd (cargo)
Lexus,Is,is 350/is 350c
Aston Martin,Virage,virage
Fiat,500,500 cabrio
Bmw,X5,x5 xdrivem
Ford,Escape,escape hybrid awd
Dodge,Charger,charger glh-s
Mini,Cooper,cooper coupe
Mercedes-Benz,C-Class,c350 coupe
Bmw,3 Series,328i sport wagon
Jeep,Grand Cherokee,grand cherokee srt8
Mazda,3,3 di 4-door
Chrysler,300 Srt8,300 srt8
Infiniti,Ex37,ex37
Volkswagen,Jetta,jetta gli/wolfsburg edition
Mini,John Cooper Works,john cooper works gp-2
Acura,Mdx,mdx 2wd
Mercedes-Benz,Glk-Class,glk250 bluetec 4matic
Bmw,3 Series,328d
Bmw,3 Series,328i xdrive gran turismo
Hyundai,Genesis,genesis r spec
Bmw,X4,x4 xdrive35i
Bmw,I3,i3 rex
Infiniti,Q40,q40 awd
Lexus,Is,is 350 c
Cadillac,Escalade,escalade esv 4wd
Hyundai,Sonata,sonata limited
Chevrolet,Cruze,cruze limited  eco
Mercedes-Benz,Cls-Class,amg cls63 s 4matic
Toyota,Tacoma,tacoma 4wd double cab
Ford,F150,f150 5.0l 2wd ffv gvwr>7599 lbs payload package
Cadillac,Elr,elr sport
Land Rover,Freelander,freelander 3 door
Audi,Rs 6,rs6
Mercedes-Benz,C-Class,c230 kompressor sports coupe
Porsche,Carrera 4 S Cabriolet Kit,carrera 4 s cabriolet kit
Volkswagen,Phaeton,phaeton
Gmc,Safari Cargo,safari awd conversion (cargo)
Lincoln,Aviator,aviator 2wd
Mercedes-Benz,C-Class,c230
Subaru,Tribeca,b9 tribeca awd
Bmw,5 Series,525xi
Mercedes-Benz,C-Class,c280 4matic
Infiniti,M35,m35x
Cadillac,Sts-V,sts-v
Kia,Rondo,rondo
Bmw,X3,x3 3.0si
Gmc,Savana Cargo,savana 1500 2wd conversion (cargo)
Chevrolet,Van 1500,van 1500 awd cargo
Dodge,Caravan/Grand Caravan,caravan/grand caravan fwd
Renault,18I/Wagon/Sportwagon,sportwagon
Grumman Olson,Kubvan,kubvan
Volkswagen,Rabbit,rabbit convertible
Jeep,Cherokee/Wagoneer,cherokee/wagoneer
Volvo,960/S90,960/s90
Volvo,960 Wagon/V90,960 wagon/v90
Lexus,Lx,lx 450
Chrysler,Jx/Jxi/Limited Convertible,jx/jxi/limited convertible
Oldsmobile,Cutlass,cutlass
Mercedes-Benz,Slk-Class,slk230 kompressor
Bmw,5 Series,528i touring
Mercedes-Benz,E-Class,e320 wagon 4matic
Dodge,Caravan/Grand Caravan,caravan/grand caravan awd
Suzuki,Grand Vitara,grand vitara 4door 4wd
Saturn,Lw,lw
Mercedes-Benz,Ml-Class,ml55
Porsche,911,911 gt2
Audi,S8,s8 quattro
Audi,Rs,rs 5 coupe
Toyota,Grand Highlander,grand highlander hybrid awd
Bmw,I7,i7 m70 xdrive sedan (21 inch wheels)
Kia,Ev6,ev6 long range awd (19 inch wheels)
Rivian,R1T,r1t 22 inch dual large
Toyota,Prius,prius awd xle/ltd
Ferrari,Purosangue,purosangue
Mercedes-Benz,Glc-Class,amg glc43 4matic coupe
Lexus,Rz,rz 300e (18 inch wheels)
Lucid,Air,air g touring xr awd with19 inch wheels
Rivian,R1T,r1t dual large (21in)
Rivian,R1T,r1t dual max (21in)
Grumman Allied Industries,Llv,llv
Cx Automotive,Cxestate,cxestate
Renault,18I/Wagon/Sportwagon,18i 4dr wagon
Mitsubishi,Space Wagon,space wagon 4wd
Ferrari,F 40,f 40
Audi,Coupe Quattro,coupe quattro
Gmc,Suburban,suburban v1500 4wd
Porsche,Carrera,carrera
Audi,80/90,80 quattro
Bmw,3 Series,318i
Mercedes-Benz,230,230te
Wallace Environmental,Wetl 300,wetl 300 te
Gmc,Jimmy,jimmy sonoma 4wd
Mercedes-Benz,300,300ce
Suzuki,Sidekick,sidekick 2wd
Tesla,Model S,model s (75 kw-hr battery pack)
Mercedes-Benz,S-Class,amg s63 4matic convertible
Mercedes-Benz,E-Class,amg e63 s 4matic (wagon)
Ford,Focus,focus rs awd
Honda,Civic,civic 5dr - type r
Toyota,Highlander,highlander le/xle/se/ltd
Acura,Tlx,tlx fwd a-spec
Bmw,I8,i8 roadster
Ferrari,488 Pista Spider,488 pista spider
Maserati,Ghibli,ghibli  v6 rwd
Tesla,Model 3,model 3 long range awd performance
Porsche,Panamera,panamera 4 e-hybrid
Jeep,Gladiator Pickup,gladiator pickup 4wd
Bmw,7 Series,745e xdrive
Audi,Tt Rs,tt rs
Lexus,Lc,lc 500
Ferrari,Gtc4Lusso,gtc4lusso t
Bmw,M,m850i xdrive coupe
Maserati,Ghibli,ghibli sq4
Mercedes-Benz,Gls-Class,gls450 4matic
Jeep,Renegade,renegade trailhawk 4wd
Mercedes-Benz,Amg Gt,amg gt r roadster
Audi,Rs,rs3
Mclaren Automotive,540C Coupe,540c coupe
Lamborghini,Huracan,huracan 2wd
Toyota,Avalon,avalon awd
Ford,Transit Connect,transit connect van fwd
Ford,Transit T150 Wagon,transit t150 wagon 2wd ffv
Nissan,Rogue,rogue fwd sl/platinum
Bmw,7 Series,740i xdrive sedan
Porsche,Taycan,taycan turbo
Audi,R8,r8 spyder rwd
Audi,Q8,q8 quattro
Audi,Q5,q5 tfsi e quattro
Kia,Ev6,ev6 awd (long range)
Lamborghini,Aventador,aventador countach
Bmw,Ix,ix xdrive50 (20 inch wheels)
Maserati,Quattroporte,quattroporte trofeo
Volvo,Xc60,xc60 b6 awd
Ferrari,Daytona Sp3,daytona sp3
Oldsmobile,Cutlass Supreme,cutlass supreme classic
Toyota,Cab Chassis,cab/chassis
Wallace Environmental,Wetl 500,wetl 500 sel
Cx Automotive,Xm,xm v6a
J.K. Motors,Merc.Benz.300Se,merc.benz.300se
Cx Automotive,Xm,xm v6 break
J.K. Motors,Bmw635Csi,bmw635csi
London Taxi,London Taxi,london taxi
Chevrolet,Sport Van,sport van g30 2wd (cargo)
Audi,4000,4000 cs quattro
Bmw,3 Series,328ci xdrive
Bmw,3 Series,335is coupe
Infiniti,M37,m37
Bmw,Activehybrid X6,activehybrid x6
Jeep,Liberty,liberty 4wd
Gmc,Yukon,yukon denali 1500 hybrid 4wd
Mini,Minie,minie
Renault,Gta,gta convertible
Honda,Fit,fit ev
Acura,Tlx,tlx
Ferrari,458 Speciale,458 speciale spider
Volvo,V60,v60 cc fwd
Porsche,Boxster,boxster spyder
Kia,Sportage,sportage sx awd
Mercedes-Benz,Gle-Class,gle300 d 4matic
Mercedes-Benz,B-Class Electric Drive,b250e
Kia,Sportage,sportage fe fwd
Rolls-Royce,Silver Spur Ii Mpw Touring L,silver spur ii mpw touring l
Bmw,8 Series,850ci
Hyundai,Sonata,sonata (y-3)
Acura,Tl,2.5tl
Rolls-Royce,Flying Spur,flying spur
Federal Coach,Formal,formal
Dodge,B3500 Wagon,b3500 wagon 2wd
Dodge,B3500 Van,b3500 van 2wd
Saab,900,900s
Cadillac,Catera,catera
Jaguar,Xjs,xjs
Pontiac,Trans Sport/Montana,trans sport/montana 2wd
Bmw,3 Series,323i convertible
Bmw,3 Series,323ci
Acura,Tl,3.2tl
Volvo,V40,v40
Tvr Engineering Ltd,Tvr 280I/350I Convertible,tvr 280i/350i convertible
Maserati,Spyder,spider cambiocorsa/spider gt
Acura,Cl,3.2cl
Subaru,Legacy/Outback,legacy wagon awd (incl. outback)
Toyota,Celica,celica supra
Lamborghini,Murcielago,l-147/148 murcielago
Mercedes-Benz,Slk-Class,slk230
Porsche,Carrera 2 Coupe Kit,carrera 2 coupe kit
Daewoo,Kalos,kalos
Mazda,B Pickup,b3000
Chevrolet,Astro Cargo,astro 2wd (cargo) conversion
Chevrolet,Venture,venture awd
Gmc,Savana Passenger,savana passenger (dedicated cng)
Maserati,Spyder,spyder cambiocorsa/gt/90 anv
Bmw,6 Series,645ci
Pontiac,Wave,wave 5
Chevrolet,Epica,epica
Toyota,Sienna,sienna 4wd
Lexus,Rx,rx 330 4wd
Texas Coach Company,500Sel,500sel
Toyota,Tercel,tercel wagon 2wd
Lexus,Rx,rx 350 4wd
Mercedes-Benz,Slk-Class,slk280
Isuzu,I-290 Extended Cab,i-290 extended cab 2wd
Bmw,3 Series,328xi
Suzuki,Xl7,xl7 fwd
Mercedes-Benz,Clk-Class,clk63 amg (cabriolet)
Chevrolet,Cobalt,cobalt xfe
Hummer,H3T,h3t 4wd
Mercedes-Benz,E-Class,e300 diesel
Mercedes-Benz,Clk-Class,clk350 (cabriolet)
Gmc,Savana Cargo,savana 1500 awd conversion (cargo)
Ford,Fusion,fusion awd ffv
Rolls-Royce,Camargue,camargue
Bmw,M,m8 competition convertible
Jeep,Wrangler,wrangler rubicon 4dr 4wd
Cadillac,Lyriq,lyriq
Hyundai,Ioniq 6,ioniq 6 long range awd (18 inch wheels)
Hyundai,Ioniq 5,ioniq 5 long range rwd
Volvo,Xc40,xc40 recharge twin
Rivian,R1S,r1s 22 inch performance dual large
Mercedes-Benz,S-Class,s580e 4matic
Ineos Automotive,Grenadier,grenadier
Toyota,Land Cruiser,land cruiser
Lucid,Air,air g touring xr awd with 20 inch wheels
Mercedes-Benz,Eqe,eqe 350 plus (suv)
Rivian,R1S,r1s performance dual max (21in)
Ram,1500,1500 rho 4wd
Chrysler,Tc,tc by convertible
Audi,200,200 quattro wagon
Dodge,Colt,colt wagon 4wd
Wallace Environmental,Wetl 412,wetl 412
Mercedes-Benz,260,260e
Subaru,Legacy/Outback,legacy wagon 4wd
Acura,Vigor,vigor
Suzuki,Sidekick,sidekick hardtop 2wd
Chevrolet,Coachbuilder Wagon,coachbuilder wagon
Ford,Escort,escort fs
Lexus,Rc,rc 200t
Chevrolet,City Express Cargo Van,city express cargo van
Maserati,Quattroporte,quattroporte v8
Mercedes-Benz,S-Class,maybach s560 4matic
Bmw,I3,i3s (94ah) with range extender
Mini,Clubman,cooper clubman all4
Land Rover,Range Rover,range rover evoque 286hp
Volkswagen,Golf/Gti,e-golf
Gmc,Sierra,sierra k10 cab chassis 4wd
Infiniti,Qx30,qx30 awd
Acura,Tlx,tlx awd a-spec
Land Rover,Range Rover,range rover velar p380
Bmw,7 Series,alpina b7
Mercedes-Benz,S-Class,amg s63 4matic plus convertible
Ford,Transit T150 Wagon,transit t150 wagon 4wd ffv
Porsche,Cayenne,cayenne coupe
Mercedes-Benz,Glc-Class,glc350e 4matic
Kia,Sorento,sorento hybrid
Maserati,Ghibli,ghibli s
Audi,R8,r8 spyder 2wd
Nissan,Altima,altima awd
Bmw,I3,i3 with range extender
Lamborghini,Urus,urus
Jaguar,F-Type,f-type p450 awd r-dynamic coupe
Maserati,Levante,levante gt
Lucid,Air,air dream r awd w/21 inch wheels
Lucid,Air,air g touring awd w/21 inch wheels
Mcevoy Motors,240 Dl/240 Gl Sedan,240 dl/240 gl sedan
Porsche,Panamera,panamera 4s e-hybrid/exec/st
Mercedes-Benz,S-Class,s500 4matic
Ford,Explorer,explorer platinum hev rwd
Jaguar,Xe,xe p250
Audi,Q5,q5 quattro
Audi,Tt,tt roadster
Bmw,M,m5 sedan
Jaguar,F-Pace,f-pace svr
Volvo,Xc60,xc60 b5 awd
Rolls-Royce,Cullinan,cullinan black badge
Chevrolet,Bolt Euv,bolt euv
Bmw,3 Series,330i sedan
Lexus,Nx,nx 250
Bmw,5 Series,530e xdrive sedan
J.K. Motors,Bmw735I,bmw735i
J.K. Motors,Merc Benz 300Sel,merc benz 300sel
Mercedes-Benz,300,300e 2.8
Ferrari,360 Modena/Modena F1,360 modena/modena f1
Gmc,Vandura,vandura g35 2wd (cargo)
Hyundai,Elantra,elantra blue
Bmw,3 Series,328i sports wagon
Dodge,Lancer,lancer convertible
Kia,Forte,forte eco
Bmw,3 Series,328i coupe xdrive
Porsche,New 911 Carrera,new 911 carrera s
Mini,Countryman,cooper countryman coupe
Mcevoy Motors,740 Gle Sedan,740 gle sedan
Bmw,4 Series,428i convertible
Audi,Q5,q5 hybrid
Volkswagen,Jetta,jetta hybrid
Land Rover,Range Rover,range rover ffv
Bmw,4 Series,428i gran coupe
Subaru,Crosstrek,xv crosstrek awd
Bmw,3 Series,340i xdrive
Aston Martin,Vanquish,vanquish
Ford,Transit T150 Wagon,transit t150 wagon ffv
Cadillac,Deville/Concourse,deville/concourse
Toyota,Truck/T100,t100 4wd
Gmc,Rally,rally g35 2wd
Federal Coach,Lincoln Eaton,lincoln eaton
Federal Coach,Lincoln Stratford,lincoln stratford
Mercedes-Benz,S-Class,s600 coupe
Buick,Funeral Coach/Hearse,funeral coach/hearse
Ferrari,Ferrari 550 Maranello,ferrari 550 maranello
Volvo,S90,s90
Dodge,B1500 Wagon,b1500 wagon 2wd
Bmw,5 Series,540i touring
Bmw,7 Series,750il/750il protection
Ford,F150,lightning pickup 2wd
Ford,Explorer,explorer sport 2wd
Isuzu,Vehicross,vehicross 4wd
Ford,Taurus,taurus wagon ffv
Mazda,B Pickup,b3000 (ffv) ethanol 2wd
Audi,S6,s6 avant
Isuzu,Ascender,ascender 2wd
Ford,F150,f150 dual-fuel 4wd (lpg)
Mercury,Mountaineer,mountaineer 4wd ffv
Mercedes-Benz,E-Class,e500 4matic (wagon)
Chevrolet,Uplander,uplander awd
Chevrolet,Silverado,silverado 2500 hd 4wd cng
Spyker,C8,c8 spyder wide body
Mercedes-Benz,R-Class,r500
Gmc,Sierra,sierra classic 1500 awd
Roush Performance,F150,stage 3 f150 super crew 4wd
Ford,F150,f150 stx se 2wd
Saturn,Aura,aura hybrid
Bmw Alpina,7 Series,b7
Saturn,Astra,astra 4dr hatchback
Dodge,Journey,journey  4wd
Jeep,Grand Cherokee,grand cherokee srt8 awd
Gmc,S15 Utility Body,s15 utility body 2wd
Mercedes-Benz,300,300sd/380se
Toyota,Grand Highlander,grand highlander limited
Audi,Q3,q3 s line quattro
Land Rover,Range Rover,range rover sv lwb mhev
Chevrolet,Corvette,corvette e-ray
Mercedes-Benz,Eqe,eqe 500 4matic
Rolls-Royce,Spectre,spectre black badge (22 inch wheels)
Rivian,R1T,r1t dual standard plus (21in)
Rivian,R1S,r1s dual max (21in)
Tesla,Model S,model s plaid (19in wheels)
Maserati,225,225
Pontiac,Grand Prix,grand prix turbo
Gmc,Suburban,r1500 suburban 2wd
Nissan,Hardbody,hardbody 4wd
Dodge,Ramcharger,ramcharger 4wd
Infiniti,Q60,q60s red sport awd
Ford,F150,f150 5.0l 4wd gvwr>7599 lbs
Ford,F150,f150 2wd ffv base payload lt tire
Tesla,Model S,model s 75d
Ford,Fiesta,fiesta st fwd
Mercedes-Benz,S-Class,amg s63 4matic
Gmc,Sierra,sierra c10 xfe 2wd
Porsche,924,924 s
Ford,Fusion,fusion special service phev
Porsche,Cayman,cayman t
Bmw,7 Series,740i xdrive
Pagani,Huayra,huayra roadster bc
Aston Martin,Dbx V8,dbx v8
Volkswagen,Id.4,id.4 1st
Karma,Gs-6,gs-6 (21-inch wheels)
Porsche,Panamera,panamera 4 executive
Hyundai,Tucson,tucson hybrid
Bentley,Continental,continental gt speed
Jeep,Grand Cherokee,grand cherokee wk 4wd
Chevrolet,Silverado,silverado 4wd zr2
Kia,Sportage,sportage hybrid awd
Toyota,Gr 86,gr 86
Audi,Sq7,sq7
Polestar,2,2 single motor
Maserati,Mc20,mc20
Nissan,Rogue,rogue awd sl/platinum
Nissan,Pathfinder,pathfinder 4wd sl/platinum
Ferrari,Monza Sp2,monza sp2
Bmw,I7,i7 xdrive60 sedan (20 inch wheels)
Rivian,R1S,r1s (21 inch wheels)
Porsche,Carrera Gt,carrera gt
Kia,Spectra,spectra 2.0l
Mercedes-Benz,Ml-Class,ml500
Chevrolet,Silverado,silverado 1500 awd
Pontiac,Montana,montana svx awd
Gmc,Sierra,sierra 2500 hd 2wd
Mercedes-Benz,Cls-Class,cls500
Mercedes-Benz,Cls-Class,cls55 amg
Lexus,Rx,rx 400h 4wd
Ford,Taurus,taurus x awd
Mercedes-Benz,Clk-Class,clk550
Bmw,5 Series,535xi
Hyundai,Entourage,entourage
Bmw,X5,x5 xdrive30i
Import Foreign Auto Sales Inc,1Fas 410,1fas 410
Bmw,3 Series,330i xdrive sedan
Kia,Sportage,sportage x-pro
Bmw,I5,i5 edrive40 sedan (21 inch wheels)
Hyundai,Ioniq 5,ioniq 5 standard range rwd
Rivian,R1S,r1s 20 inch all-terrain performance dual large
Vinfast,Vf 8,vf 8 plus
Volkswagen,Jetta,jetta sport/se/sel
Hyundai,Sonata,sonata fwd
Kia,Sportage,sportage hybrid fwd
Ruf Automobile,T12/Ctr3/Ctr Anniversary,t12/ctr3/ctr anniversary
Mercedes-Benz,Cle-Class,cle300 4matic (convertible)
Subaru,Forester,forester sport/touring awd
Lexus,Nx,nx 350 awd f sport
Audi,Q4 E-Tron,q4 sportback 55 e-tron quattro
Rivian,R1T,r1t dual standard (21in)
Rivian,R1T,r1t performance dual standard plus (21in)
Rivian,R1S,r1s performance dual large (22in)
Rivian,R1S,r1s performance dual max (22in)
Eagle,Medallion,medallion wagon
Volvo,740/760,740 16-valve wagon
Wallace Environmental,Wetl Testarossa,wetl testarossa
Wallace Environmental,Wetl 300,wetl 300 e
"Pas, Inc",Pas-Syclone,pas-syclone
Ferrari,Ferrari 348 Tb/Ts,ferrari 348 tb/ts
Jaguar,Xjrs,xjrs convertble
Am General,Post Office Dj8,post office dj8 2wd
Aston Martin,Db7,db7 volante
Volkswagen,Golf/Gti,new gti
Aston Martin,Db-7 Vantage,db-7 vantage volante
Ford,F150,f150 pickup 2wd cng
Mercedes-Benz,Ml-Class,ml430
Mazda,Protege/Protege 5,protege/protege 5
Hyundai,Xg,xg350
J.K. Motors,300Sl,300sl
Bmw,5 Series,550 gt
Nissan,Armada,armada 2wd ffv
Chevrolet,S10 Pickup,s10 electric
Mercedes-Benz,S-Class,s400 hybrid
Chevrolet,Captiva,captiva awd
Ferrari,599 Gto,599 gto
Fisker,Karma,karma
Renault,Gta,gta
Bmw,7 Series,740li xdrive
Mercedes-Benz,E-Class,e63 amg 4matic (wagon)
Gmc,Yukon,yukon xl c10 2wd
Gmc,Yukon,yukon k10 4wd
Mercedes-Benz,380,380se
Infiniti,Q60,q60 convertible
Ford,E350 Wagon,e350 wagon
Rolls-Royce,Eight/Mulsan/Mulsanne,eight/mulsan
Ccc Engineering,Duntov Gt,duntov gt
Bmw,3 Series,328i xdrive sports wagon
Bmw,2 Series,228i xdrive convertible
Bmw,4 Series,435i gran coupe
Ford,Expedition,expedition el 4wd
Nissan,Titan,titan 2wd ffv
Hyundai,Accent,accent blue
Nissan,Titan,titan 4wd ffv
Hyundai,Elantra,elantra coupe
Infiniti,Jx35,jx35 awd
Bmw,4 Series,435i convertible
Bmw,6 Series,650i xdrive coupe
Maserati,Ghibli,ghibli v6
Bmw,2 Series,m235i xdrive
Tesla,Model S,model s awd - 85d
Infiniti,Qx80,qx80 4wd (over 6000 lbs curb weight)
Hyundai,Santa Fe,santa fe sport ultimate fwd
Mercedes-Benz,Sl-Class,amg sl65
Bmw,2 Series,m235i convertible
Tesla,Model X,model x awd - p90d
Nissan,Leaf,leaf (24 kw-hr battery pack)
Rolls-Royce,Corniche/Continental,corniche ii/continental
Aston Martin,Vanquish,v12 vanquish
Kia,Spectra,spectra 1.8l
Daewoo,Magnus,magnus
Suzuki,Aerio,aerio sx awd
Chrysler,300 Srt8,300c/srt-8
Isuzu,I-280 Extended Cab,i-280 extended cab 2wd
Buick,Terraza,terraza awd
Ferrari,F141,f141
Gmc,Sierra,sierra classic 1500 2wd
Mercedes-Benz,R-Class,r63 amg
Isuzu,Ascender,ascender 7-passenger 4wd
Mercedes-Benz,R-Class,r320 cdi 4matic
Suzuki,Grand Vitara,grand vitara awd
Pontiac,G3,g3 wave
Audi,4000,4000s quattro
Ferrari,Ferrari F355 Berlinetta/Gts,ferrari f355 berlinetta/gts
Geo,Tracker,tracker convertible 4x4
Plymouth,Prowler,prowler
Bentley,Continental,continental sc
Hyundai,Xg,xg300
Autokraft Limited,A.C.Mkiv,a.c.mkiv
Volvo,V70 Xc,v70 xc awd
Dodge,Ram Van 2500,ram van 2500 2wd cng
Ford,E250 Van,e250 cng
Porsche,911,911 targa
Mercedes-Benz,E-Class,e430 4matic
Mercedes-Benz,S-Class,s430 4matic
Ferrari,F12 Tdf,f12 tdf
Bmw,I3,i3 bev (60  amp-hour battery)
Mercedes-Benz,Gle-Class,gle550e 4matic
Mercedes-Benz,Maybach,maybach s650 convertible
Bmw,X5,x5 xdrive 35d
Mercedes-Benz,Amg Gt,amg gt c coupe
Audi,R8,r8 spyder awd
Porsche,911,911 gt2 rs
Bmw,M,m2 competition
Jaguar,Xe,xe 30t
Tesla,Model S,model s standard range
Mercedes-Benz,Glc-Class,amg glc63 4matic plus coupe
Tesla,Model 3,model 3 standard range
Bmw,2 Series,228i xdrive gran coupe
Mclaren Automotive,600Lt Coupe,600lt coupe
Toyota,Rav4,rav4 hybrid  awd
Volvo,Xc40,xc40 awd bev
Bmw,M,m5 cs sedan
Bmw,7 Series,750i xdrive sedan
Mercedes-Benz,Metris Cargo,metris (us postal long)
Tesla,Model S,model s plaid (21 inch wheels)
Tesla,Model X,model x plaid (20 inch wheels)
Nissan,Rogue Sport,rogue sport awd
Ford,Mustang Mach-E,mustang mach-e cal rt 1 er awd
Bmw,X4,x4 xdrive30i
Bmw,7 Series,760i xdrive sedan
Nissan,Frontier,frontier 4wd pro4x
Audi,Q4 E-Tron,q4 e-tron quattro
Bmw,M,m2 coupe
Ford,Ranger,ranger tremor 4wd
Rivian,R1T,r1t (22 inch wheels)
Bmw,4 Series,m440i gran coupe
Volkswagen,Atlas,atlas 4motion peak edition
Bmw,X1,x1 m35i
Bmw,I4,i4 xdrive40 gran coupe (18 inch wheels)
Bmw,I4,i4 edrive35 gran coupe (18 inch wheels)
Bmw,Ix,ix xdrive40 (22 inch wheels)
Genesis,Gv60,gv60 advanced (19 inch wheels)
Rivian,R1T,r1t 21 inch performance dual large
Ferrari,Roma,roma
Mercedes-Benz,Eqe,eqe 350 4matic
Rivian,R1S,r1s all-terrain quad large (20 inch)
Toyota,Corolla Cross,corolla cross
Ram,1500,1500 ho 4wd
Jaguar,F-Pace,f-pace mhev
Bmw,X6,x6 m60i xdrive
Rivian,R1T,r1t performance dual large (22in)
Rivian,R1T,r1t quad large (20in)
Rivian,R1S,r1s all-terrain performance dual max (20in)
Rivian,R1S,r1s quad large (20in)
Porsche,944,944 turbo
Dodge,Csx,csx
Subaru,Loyale,loyale wagon 4wd
J.K. Motors,Testarossa,testarossa
Gmc,Safari,safari awd (passenger)
Hyundai,J-Car/Elantra,j-car/elantra
